"Species","Genus","Family","Ordo","Class","Phylum"
"Ascidiella_senegalensis_Michaelsen,_1914","Ascidiella_[Chordata]","Ascidiidae","Enterogona","Ascidiacea","Chordata"
"Ascidiophilla_alba_Newman,_2002","Ascidiophilla_[Platyhelminthes]","Euryleptidae","Polycladida","Rhabditophora","Platyhelminthes"
"Ascidiophilus_caphyraeformis_Richters,_1880","Ascidiophilus_[Arthropoda]","Dromiidae","Decapoda","Malacostraca","Arthropoda"
"Ascidioxynus_bermudensis_Humes_&_Stock,_1973","Ascidioxynus_[Arthropoda]","Lichomolgidae","Poecilostomatoida","Maxillopoda","Arthropoda"
"Ascidioxynus_floridanus_Humes_&_Stock,_1973","Ascidioxynus_[Arthropoda]","Lichomolgidae","Poecilostomatoida","Maxillopoda","Arthropoda"
"Ascidioxynus_ibericus_Lpez-Gonzlez,_Megina_&_Conradi,_1999","Ascidioxynus_[Arthropoda]","Lichomolgidae","Poecilostomatoida","Maxillopoda","Arthropoda"
"Ascidioxynus_jamaicensis_(Wilson_C.B.,_1921)","Ascidioxynus_[Arthropoda]","Lichomolgidae","Poecilostomatoida","Maxillopoda","Arthropoda"
"Ascidipontius_concavus_I._H._Kim,_1996","Ascidipontius_[Arthropoda]","Artotrogidae","Siphonostomatoida","Maxillopoda","Arthropoda"
"Ascidipontius_rarus_I._H._Kim_I.H.","Ascidipontius_[Arthropoda]","Artotrogidae","Siphonostomatoida","Maxillopoda","Arthropoda"
"Ascidonia_flavomaculata_(Heller,_1864)","Ascidonia_[Arthropoda]","Palaemonidae","Decapoda","Malacostraca","Arthropoda"
"Ascidonia_miserabilis_(Holthuis,_1951)","Ascidonia_[Arthropoda]","Palaemonidae","Decapoda","Malacostraca","Arthropoda"
"Ascidonia_quasipusilla_(Chace,_1972)","Ascidonia_[Arthropoda]","Palaemonidae","Decapoda","Malacostraca","Arthropoda"
"Ascionana_bassiana_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_bathyalis_Shimomura,_2009","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_curvifrons_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_darwinia_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_dentifera_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_laevifrons_(Stebbing,_1910C)","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_latirima_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_magnetica_Just_&_WIlson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_minuta_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_notaedorsalis_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_rhipis_(Shimomura_&_Mawatari,_1999)","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_rockinghamia_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_rottnestia_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Ascionana_tassiana_Just_&_Wilson,_2004","Ascionana_[Arthropoda]","Paramunnidae","Isopoda","Malacostraca","Arthropoda"
"Asclepios_annandalei_Distant,_1915","Asclepios_[Arthropoda]","Gerridae","Hemiptera","Insecta","Arthropoda"
"Asclepios_apicalis_Esaki,_1924","Asclepios_[Arthropoda]","Gerridae","Hemiptera","Insecta","Arthropoda"
"Asclepios_shiranui_coreanus_Esaki,_1930","Asclepios_[Arthropoda]","Gerridae","Hemiptera","Insecta","Arthropoda"
"Asclepios_shiranui_Esaki,_1924","Asclepios_[Arthropoda]","Gerridae","Hemiptera","Insecta","Arthropoda"
